"Incident Number","Exposure Number","Alarm Date","Alarm Time","Incident Type","Incident Description","Estimated Property Loss","Estimated Content Loss","District","City Section","Neighborhood","Zip","Property Use","Property Description","Street Number","Street Prefix","Street Name","Street Suffix","Street Type","Address 2","XStreet Prefix","XStreet Name","XStreet Suffix","XStreet Type"
"21-0005749","0","02/01/2021","03:05:59","531 ","Smoke or odor removal                             ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","449 ","Hotel/motel, commercial                           ","90      ","  ","TREMONT                  ","  ","ST  ",": @HOTEL-NINE ZERO HOTEL - 90 TREMONT ST","  ","                         ","  ","    "
"21-0005750","0","02/01/2021","03:23:04","730 ","System malfunction, Other                         ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","000 ","Property Use, Other                               ","720     ","  ","HARRISON                 ","  ","AVE ",": #14-1653                              ","  ","                         ","  ","    "
"21-0005751","0","02/01/2021","03:28:13","500 ","Service Call, other                               ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","429 ","Multifamily dwelling                              ","7       ","  ","DANA                     ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0005752","0","02/01/2021","04:05:28","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","12   ","JP             ","Jamaica Plain                                     ","02131     ","500 ","Mercantile, business, Other                       ","3870    ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005754","0","02/01/2021","04:26:30","522 ","Water or steam leak                               ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","34-58   ","  ","OSPREY                   ","  ","WAY ",": #INS466                               ","  ","                         ","  ","    "
"21-0005755","0","02/01/2021","06:32:40","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","200 ","Educational, Other                                ","71      ","  ","PLEASANT                 ","  ","ST  ",": #12-1871                              ","  ","                         ","  ","    "
"21-0005756","0","02/01/2021","06:43:33","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","    ","","28      ","  ","STANTON                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005757","0","02/01/2021","06:49:26","400 ","Hazardous condition, Other                        ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","500 ","Mercantile, business, Other                       ","21-27   ","  ","BURLINGTON               ","  ","AVE ",": #14-2327                              ","  ","                         ","  ","    "
"21-0005759","0","02/01/2021","07:15:02","714 ","Central station, malicious false alarm            ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","500 ","Mercantile, business, Other                       ","20      ","  ","OLD COLONY               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0005761","0","02/01/2021","07:37:05","553 ","Public service                                    ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","000 ","Property Use, Other                               ","609     ","  ","ALBANY                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005762","0","02/01/2021","07:46:05","522 ","Water or steam leak                               ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","429 ","Multifamily dwelling                              ","1873    ","  ","HYDE PARK                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0005763","0","02/01/2021","08:04:42","733 ","Smoke detector activation due to malfunction      ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","        ","  ","WARREN                   ","  ","ST  ","                                        ","  ","WASHINGTON               ","  ","ST  "
"21-0005764","0","02/01/2021","08:08:30","554 ","Assist invalid                                    ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","429 ","Multifamily dwelling                              ","580     ","  ","WASHINGTON               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005766","0","02/01/2021","08:25:27","731 ","Sprinkler activation due to malfunction           ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","519 ","Food and beverage sales, grocery store            ","6       ","  ","BUNKER HILL INDUSTRIAL   ","  ","PARK","                                        ","  ","                         ","  ","    "
"21-0005768","0","02/01/2021","08:29:16","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","429 ","Multifamily dwelling                              ","152     ","E ","COTTAGE                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005769","0","02/01/2021","08:33:17","900T","BFD Drill                                         ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","900 ","Outside or special property, Other                ","200     ","  ","CAMBRIDGE                ","  ","ST  ",": @BFD ENG 4                            ","  ","                         ","  ","    "
"21-0005770","0","02/01/2021","08:39:10","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","06   ","RX             ","Roxbury                                           ","02118     ","    ","","112     ","  ","SOUTHAMPTON              ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005771","0","02/01/2021","08:41:05","113 ","Cooking fire, confined to container               ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02467     ","429 ","Multifamily dwelling                              ","42      ","  ","BRYON                    ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0005772","0","02/01/2021","08:52:12","714 ","Central station, malicious false alarm            ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","700 ","Manufacturing, processing                         ","8       ","  ","SEAFOOD                  ","  ","WAY ","                                        ","  ","                         ","  ","    "
"21-0005774","0","02/01/2021","08:55:40","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","1875    ","  ","DORCHESTER               ","  ","AVE ",": @BHA-PEABODY-ENGLEWOOD                ","  ","                         ","  ","    "
"21-0005775","0","02/01/2021","09:01:48","900 ","Special type of incident, Other                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","    ","","59      ","  ","FENWAY                   ","  ","    ","                                        ","  ","                         ","  ","    "
"21-0005776","0","02/01/2021","09:06:07","731 ","Sprinkler activation due to malfunction           ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","519 ","Food and beverage sales, grocery store            ","1826    ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005778","0","02/01/2021","09:16:56","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","    ","","17      ","  ","COURT                    ","  ","ST  ",": @SHELTER-NEW ENGLAND SHELTER FOR HOMEL","  ","                         ","  ","    "
"21-0005779","0","02/01/2021","09:25:01","730 ","System malfunction, Other                         ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","121 ","Ballroom, gymnasium                               ","271     ","  ","HUNTINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0005781","0","02/01/2021","09:36:53","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","419 ","1 or 2 family dwelling                            ","35      ","  ","MYSTIC                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005784","0","02/01/2021","10:00:04","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","519 ","Food and beverage sales, grocery store            ","545     ","  ","FREEPORT                 ","  ","ST  ",": @STOP & SHOP - 545 FREEPORT ST, DO    ","  ","                         ","  ","    "
"21-0005785","0","02/01/2021","10:02:34","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02118     ","000 ","Property Use, Other                               ","1810-185","  ","WASHINGTON               ","  ","ST  ",": #AFA7724                              ","  ","                         ","  ","    "
"21-0005786","0","02/01/2021","10:06:02","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","429 ","Multifamily dwelling                              ","446     ","  ","BELGRADE                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0005787","0","02/01/2021","10:09:59","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","331 ","Hospital - medical or psychiatric                 ","80      ","E ","CONCORD                  ","  ","ST  ",": #15-1656                              ","  ","                         ","  ","    "
"21-0005788","0","02/01/2021","10:10:44","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","    ","","4       ","  ","ANNAPOLIS                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005789","0","02/01/2021","10:11:30","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","300 ","Health care, detention, & correction, Other       ","45      ","  ","FRANCIS                  ","  ","ST  ",": #17-2356                              ","  ","                         ","  ","    "
"21-0005791","0","02/01/2021","10:17:17","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","09   ","JP             ","Jamaica Plain                                     ","02130     ","400 ","Residential, Other                                ","146     ","  ","BOYLSTON                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005792","0","02/01/2021","10:20:01","555 ","Defective elevator, no occupants                  ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02215     ","500 ","Mercantile, business, Other                       ","20-27   ","  ","BURLINGTON               ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0005793","0","02/01/2021","10:28:04","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","460 ","Dormitory-type residence, other                   ","130     ","  ","AUCKLAND                 ","  ","ST  ",": #12-1866                              ","  ","                         ","  ","    "
"21-0005795","0","02/01/2021","10:33:07","900T","BFD Drill                                         ","0.0000","0.0000","03   ","               ","","00000     ","    ","","        ","  ","                         ","  ","    ",": @INNER HARBOR (MYSTIC-TOBIN BRIDGE TO ","  ","                         ","  ","    "
"21-0005797","0","02/01/2021","10:39:05","554 ","Assist invalid                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","400 ","Residential, Other                                ","1190    ","  ","ADAMS                    ","  ","ST  ",": @LTC-STANDISH VILLAGE AT LOWER MILLS  ","  ","                         ","  ","    "
"21-0005798","0","02/01/2021","10:50:21","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","429 ","Multifamily dwelling                              ","130     ","  ","TRAIN                    ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005801","0","02/01/2021","10:59:21","553 ","Public service                                    ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02134     ","963 ","Street or road in commercial area                 ","608     ","  ","CAMBRIDGE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005802","0","02/01/2021","11:01:08","511 ","Lock-out                                          ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02121     ","962 ","Residential street, road or residential driveway  ","        ","  ","BILODEAU                 ","  ","RD  ","                                        ","  ","WASHINGTON               ","  ","ST  "
"21-0005804","0","02/01/2021","11:07:37","522 ","Water or steam leak                               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","162 ","Bar or nightclub                                  ","150     ","  ","CAUSEWAY                 ","  ","ST  ",": #15-1313                              ","  ","                         ","  ","    "
"21-0005805","0","02/01/2021","11:10:08","736 ","CO detector activation due to malfunction         ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","419 ","1 or 2 family dwelling                            ","137     ","  ","ITASCA                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005806","0","02/01/2021","11:10:57","522 ","Water or steam leak                               ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","000 ","Property Use, Other                               ","750     ","  ","DORCHESTER               ","  ","AVE ",": #SIM539                               ","  ","                         ","  ","    "
"21-0005807","0","02/01/2021","11:13:44","113 ","Cooking fire, confined to container               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","429 ","Multifamily dwelling                              ","11      ","E ","NEWTON                   ","  ","ST  ",": #WYN3513                              ","  ","                         ","  ","    "
"21-0005808","0","02/01/2021","11:18:06","553 ","Public service                                    ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","960 ","Street, Other                                     ","5       ","  ","MYSTIC                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005809","0","02/01/2021","11:24:10","522 ","Water or steam leak                               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","162 ","Bar or nightclub                                  ","1       ","  ","CANAL                    ","  ","ST  ",": #WYN4205                              ","  ","                         ","  ","    "
"21-0005810","0","02/01/2021","11:31:23","731 ","Sprinkler activation due to malfunction           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02115     ","400 ","Residential, Other                                ","31      ","  ","MASSACHUSETTS            ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0005811","0","02/01/2021","11:36:18","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","300 ","Health care, detention, & correction, Other       ","17      ","  ","BLACKFAN                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005812","0","02/01/2021","11:36:53","522 ","Water or steam leak                               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02125     ","500 ","Mercantile, business, Other                       ","594     ","  ","COLUMBIA                 ","  ","RD  ",": #AFA7672                              ","  ","                         ","  ","    "
"21-0005813","0","02/01/2021","11:41:23","741 ","Sprinkler activation, no fire - unintentional     ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","700 ","Manufacturing, processing                         ","190-200 ","  ","TERMINAL                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005814","0","02/01/2021","11:46:52","522 ","Water or steam leak                               ","0.0000","0.0000","06   ","BO             ","Boston                                            ","02210     ","449 ","Hotel/motel, commercial                           ","500     ","  ","ATLANTIC                 ","  ","AVE ",": #12-1292                              ","  ","                         ","  ","    "
"21-0005816","0","02/01/2021","12:04:50","741 ","Sprinkler activation, no fire - unintentional     ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02199     ","500 ","Mercantile, business, Other                       ","704-712 ","  ","BOYLSTON                 ","  ","ST  ",": #18-1572                              ","  ","                         ","  ","    "
"21-0005817","0","02/01/2021","12:07:13","522 ","Water or steam leak                               ","0.0000","0.0000","12   ","RS             ","Roslindale                                        ","02131     ","429 ","Multifamily dwelling                              ","260     ","  ","CUMMINS                  ","  ","HWY ","                                        ","  ","                         ","  ","    "
"21-0005818","0","02/01/2021","12:07:59","553 ","Public service                                    ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","900 ","Outside or special property, Other                ","65R     ","  ","BOSTON                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005822","0","02/01/2021","12:16:49","113 ","Cooking fire, confined to container               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02108     ","429 ","Multifamily dwelling                              ","1       ","  ","WALNUT                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005823","0","02/01/2021","12:17:25","741 ","Sprinkler activation, no fire - unintentional     ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","599 ","Business office                                   ","451     ","  ","D                        ","  ","ST  ",": #14-712                               ","  ","                         ","  ","    "
"21-0005824","0","02/01/2021","12:20:21","900 ","Special type of incident, Other                   ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","900 ","Outside or special property, Other                ","750     ","  ","ALBANY                   ","  ","ST  ",": @HELI-BMCH TRAUMA                     ","  ","                         ","  ","    "
"21-0005825","0","02/01/2021","12:34:02","522 ","Water or steam leak                               ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","400 ","Residential, Other                                ","127     ","  ","LAKE                     ","  ","ST  ",": #12-5374                              ","  ","                         ","  ","    "
"21-0005826","0","02/01/2021","12:35:15","731 ","Sprinkler activation due to malfunction           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","215 ","High school/junior high school/middle school      ","205     ","  ","TOWNSEND                 ","  ","ST  ",": #12-2165                              ","  ","                         ","  ","    "
"21-0005827","0","02/01/2021","12:48:49","600 ","Good intent call, Other                           ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02111     ","960 ","Street, Other                                     ","        ","  ","TEMPLE                   ","  ","PL  ","                                        ","  ","TREMONT                  ","  ","ST  "
"21-0005828","0","02/01/2021","12:51:05","522 ","Water or steam leak                               ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","138     ","  ","D                        ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005829","0","02/01/2021","12:52:48","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","419 ","1 or 2 family dwelling                            ","318     ","  ","FULLER                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005830","0","02/01/2021","12:54:44","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","429 ","Multifamily dwelling                              ","322     ","  ","ATHENS                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005831","0","02/01/2021","12:55:00","622 ","No Incident found on arrival at dispatch address  ","0.0000","0.0000","12   ","WR             ","West Roxbury                                      ","02132     ","429 ","Multifamily dwelling                              ","20      ","  ","CHERITON                 ","  ","RD  ","                                        ","  ","                         ","  ","    "
"21-0005832","0","02/01/2021","12:55:54","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02121     ","429 ","Multifamily dwelling                              ","237-241 ","  ","WALNUT                   ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0005833","0","02/01/2021","13:01:50","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","429 ","Multifamily dwelling                              ","1626    ","  ","COMMONWEALTH             ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0005834","0","02/01/2021","13:11:07","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","03   ","CH             ","Charlestown                                       ","02129     ","    ","","407     ","  ","MAIN                     ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005835","0","02/01/2021","13:13:35","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02163     ","439 ","Boarding/rooming house, residential hotels        ","1       ","  ","WESTERN                  ","  ","AVE ",": #HAR350                               ","  ","                         ","  ","    "
"21-0005836","0","02/01/2021","13:14:11","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","01   ","EB             ","East Boston                                       ","02128     ","    ","","148     ","  ","COLERIDGE                ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005837","0","02/01/2021","13:14:31","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02122     ","429 ","Multifamily dwelling                              ","36      ","  ","NAHANT                   ","  ","AVE ",": #WYN1029                              ","  ","                         ","  ","    "
"21-0005838","0","02/01/2021","13:16:58","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","    ","","        ","  ","COLUMBUS                 ","  ","AVE ","                                        ","  ","CENTRE                   ","  ","ST  "
"21-0005839","0","02/01/2021","13:17:04","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","900 ","Outside or special property, Other                ","235     ","  ","NORWELL                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005840","0","02/01/2021","13:19:55","714 ","Central station, malicious false alarm            ","0.0000","0.0000","12   ","HP             ","Hyde Park                                         ","02136     ","429 ","Multifamily dwelling                              ","1137    ","  ","RIVER                    ","  ","ST  ",": #CLM218                               ","  ","                         ","  ","    "
"21-0005842","0","02/01/2021","13:27:26","553 ","Public service                                    ","0.0000","0.0000","08   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","235     ","  ","NORWELL                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005843","0","02/01/2021","13:32:31","743 ","Smoke detector activation, no fire - unintentional","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02163     ","439 ","Boarding/rooming house, residential hotels        ","1       ","  ","WESTERN                  ","  ","AVE ",": #HAR350                               ","  ","                         ","  ","    "
"21-0005844","0","02/01/2021","13:37:23","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","549 ","Specialty shop                                    ","1613    ","  ","BLUE HILL                ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0005845","0","02/01/2021","13:42:06","131 ","Passenger vehicle fire                            ","10000.0000","1000.0000","09   ","RX             ","Roxbury                                           ","02119     ","900 ","Outside or special property, Other                ","        ","  ","ELMWOOD                  ","  ","ST  ","                                        ","  ","MALCOLM X                ","  ","BLVD"
"21-0005847","0","02/01/2021","14:01:27","522 ","Water or steam leak                               ","0.0000","0.0000","07   ","DO             ","Dorchester                                        ","02124     ","429 ","Multifamily dwelling                              ","33      ","  ","LINDSEY                  ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005848","0","02/01/2021","14:01:42","745 ","Alarm system activation, no fire - unintentional  ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02210     ","449 ","Hotel/motel, commercial                           ","606     ","  ","CONGRESS                 ","  ","ST  ",": #13-7125                              ","  ","                         ","  ","    "
"21-0005849","0","02/01/2021","14:02:30","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02119     ","    ","","18      ","  ","CENTRE                   ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005850","0","02/01/2021","14:02:54","731 ","Sprinkler activation due to malfunction           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02111     ","173 ","Bus station                                       ","750     ","  ","ATLANTIC                 ","  ","AVE ",": #13-1437                              ","  ","                         ","  ","    "
"21-0005851","0","02/01/2021","14:08:10","714 ","Central station, malicious false alarm            ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","400 ","Residential, Other                                ","34      ","  ","KINROSS                  ","  ","RD  ",": #WYN6501                              ","  ","                         ","  ","    "
"21-0005852","0","02/01/2021","14:13:03","113 ","Cooking fire, confined to container               ","0.0000","0.0000","08   ","MT             ","Mattapan                                          ","02126     ","429 ","Multifamily dwelling                              ","140     ","  ","WELLINGTON HILL          ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005853","0","02/01/2021","14:22:16","712 ","Direct tie to FD, malicious false alarm           ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02118     ","000 ","Property Use, Other                               ","88      ","E ","NEWTON                   ","  ","ST  ",": #14-1654                              ","  ","                         ","  ","    "
"21-0005854","0","02/01/2021","14:25:57","611 ","Dispatched & cancelled en route                   ","0.0000","0.0000","11   ","BR             ","Allston-Brighton                                  ","02135     ","    ","","87      ","  ","LITCHFIELD               ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005856","0","02/01/2021","14:31:38","714 ","Central station, malicious false alarm            ","0.0000","0.0000","06   ","DO             ","Dorchester                                        ","02125     ","000 ","Property Use, Other                               ","750     ","  ","DORCHESTER               ","  ","AVE ",": @FIRST TRADE UNION BANK - 750 DORCHEST","  ","                         ","  ","    "
"21-0005857","0","02/01/2021","14:36:06","522 ","Water or steam leak                               ","0.0000","0.0000","03   ","BO             ","Boston                                            ","02114     ","400 ","Residential, Other                                ","33      ","  ","MOUNT VERNON             ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005859","0","02/01/2021","14:51:41","735 ","Alarm system sounded due to malfunction           ","0.0000","0.0000","09   ","RX             ","Roxbury                                           ","02115     ","200 ","Educational, Other                                ","400     ","  ","FENWAY                   ","  ","    ",": #14-235                               ","  ","                         ","  ","    "
"21-0005860","0","02/01/2021","14:57:58","113 ","Cooking fire, confined to container               ","0.0000","0.0000","07   ","RX             ","Roxbury                                           ","02119     ","400 ","Residential, Other                                ","20      ","  ","WINTHROP                 ","  ","ST  ","                                        ","  ","                         ","  ","    "
"21-0005862","0","02/01/2021","15:05:53","522 ","Water or steam leak                               ","0.0000","0.0000","04   ","BO             ","Boston                                            ","02116     ","429 ","Multifamily dwelling                              ","282     ","  ","COLUMBUS                 ","  ","AVE ","                                        ","  ","                         ","  ","    "
"21-0005863","0","02/01/2021","15:10:23","444 ","Power line down                                   ","0.0000","0.0000","06   ","SB             ","South Boston                                      ","02127     ","900 ","Outside or special property, Other                ","        ","  ","OLD COLONY               ","  ","AVE ",": @SUPREME HOUSE OF PIZZA - 313 OLD COLO","  ","PREBLE                   ","  ","ST  "
